Title,Company,Location,Created,Category,Description,URL,Latitude,Longitude,BestJobRole,mainJOB
Engineer - Embedded Firmware Development,Eaton Corporation,"Hadapsar, Pune",2025-07-03T01:45:06Z,Engineering Jobs,"What you'll do: Understand product requirements, design and develop code , module level and system level embedded software design/coding, validation using programming languages like C & C++ on embedded systems running for Linux platforms for Circuit Protection products (Switchgears/Relays/Meters etc.). Involve in technical design including architectural and more detailed object oriented design . Providing project, process, and technical leadership on project activities & should contribute in pr…",https://www.adzuna.in/land/ad/5280444164?se=4leHXYto8BG13rKjgzy-6Q&utm_medium=api&utm_source=c8890522&v=49DAF74878304953EB3825D6AAE9A35403CC4AA8,18.5219,73.95314,Application Developer – Smart Energy Platforms,Firmware Developer
Senior Engineer - Embedded Firmware Development,Eaton Corporation,"Hadapsar, Pune",2025-07-03T01:45:07Z,Engineering Jobs,"What you'll do: Understand product requirements, design and develop code , module level and system level embedded software design/coding, validation using programming languages like C & C++ on embedded systems running for Linux platforms for Circuit Protection products (Switchgears/Relays/Meters etc.). Involve in technical design including architectural and more detailed object oriented design . Providing project, process, and technical leadership on project activities & should contribute in pr…",https://www.adzuna.in/land/ad/5280444184?se=4leHXYto8BG13rKjgzy-6Q&utm_medium=api&utm_source=c8890522&v=212C2A4F387CE12C5B04E2BEFC8FF3F889EF6AA1,18.5219,73.95314,Application Developer – Smart Energy Platforms,Firmware Developer
AI/ML Engineer - XR Software (All levels)),Qualcomm,"Bangalore, Karnataka",2025-07-24T09:53:27Z,Engineering Jobs,"Company: Qualcomm India Private Limited Job Area: Engineering Group, Engineering Group > Systems Engineering General Summary: We are seeking a passionate and skilled AI/ML Engineer to join our cutting-edge Extended Reality (XR) Software team. In this role, you will work on next-generation XR products that blend the physical and digital worlds, leveraging artificial intelligence and machine learning to create immersive, intelligent, and responsive experiences. You will collaborate with cross-fun…",https://www.adzuna.in/land/ad/5319455530?se=4leHXYto8BG13rKjgzy-6Q&utm_medium=api&utm_source=c8890522&v=34F372FAB35D66AFE715130392FF59CC732B6057,12.95703,77.59837,Firmware Engineer – IoT Edge Devices,Firmware Developer
Lead Engineer 2 - Embedded SW Development,GE Vernova,"Telangana, India",2025-07-19T11:45:04Z,Engineering Jobs,Job Description Summary Lead Firmware Engineer will participate in embedded firmware development for the MarkVIe platforms. You will work in a global environment with a skilled cross functional team of engineers creating and improving state-of-the-art platform for use in every kind of power generation application. Job Description Essential Responsibilities - Understand high level system requirements to define the architecture and low-level design requirements and do the implementation. - Design…,https://www.adzuna.in/land/ad/5311787482?se=4leHXYto8BG13rKjgzy-6Q&utm_medium=api&utm_source=c8890522&v=DE4FC19B6E5FC56E450D9C5BA9E12F5D60FD8651,17.864111,77.027375,Application Developer – Smart Energy Platforms,Firmware Developer
Weekend Drive -2nd August - Digital IT Positions,Flowserve Corporation,"Bangalore, Karnataka",2025-07-16T10:38:21Z,Engineering Jobs,"Flowserve is a world-leading manufacturer and aftermarket service provider of comprehensive flow control systems. Join a company whose people are committed to building a more sustainable future to make the world better for everyone. With 16,000 employees in 50 countries, we combine our global reach with local presence. Our team challenges themselves to approach each situation with ingenuity and creativity to help provide our customers with the most innovative flow control products and services.…",https://www.adzuna.in/land/ad/5305889644?se=4leHXYto8BG13rKjgzy-6Q&utm_medium=api&utm_source=c8890522&v=6297DE870E162ECEEAF2EE8818E46919D45653C0,12.9881567,77.6226,Firmware Engineer – Motion Control Systems,Firmware Developer
Firmware Engineer,Xylem,"Vadodara, Gujarat",2025-07-24T09:53:47Z,Engineering Jobs,"Xylem is a Fortune 500 global water solutions company dedicated to advancing sustainable impact and empowering the people who make water work every day. As a leading water technology company with 23,000 employees operating in over 150 countries, Xylem is at the forefront of addressing the world's most critical water challenges. We invite passionate individuals to join our team, dedicated to exceeding customer expectations through innovative and sustainable solutions. Essential Duties/Principal …",https://www.adzuna.in/land/ad/5319455742?se=4leHXYto8BG13rKjgzy-6Q&utm_medium=api&utm_source=c8890522&v=F7A0A6C26BA321DAAA7425C0FA459F6B4046FD6F,22.2891,73.1924,Software Engineer – Remote Patient Terminals,Firmware Developer
Tech Lead - Firmware,Resideo,India,2025-07-03T01:48:11Z,Engineering Jobs,"We are looking for an Embedded Developer to design, develop, and optimize custom RTOS solutions for embedded systems. This role involves working closely with hardware, firmware, and application teams to deliver optimized embedded platforms. You will use your experience and technical skills to design and implement features targeted for the North American and European residential markets. Partner with world-class engineers and leaders, using your strategic thinking to anticipate problems, recogni…",https://www.adzuna.in/land/ad/5280448707?se=4leHXYto8BG13rKjgzy-6Q&utm_medium=api&utm_source=c8890522&v=58B96E177F6FF926C358DE665840CA1C786118DA,22.3511148,78.6677428,Application Developer – Smart Energy Platforms,Firmware Developer
Sr Firmware Engineer,Ralliant,India,2025-07-03T01:48:07Z,Engineering Jobs,"Your Impact You will be working on sophisticated, industrial, real time operating systems involving real time data acquisition and post processing of data for analysis and reports. This team of engineers develops innovative monitoring systems used for transformer monitoring at electrical sub stations. Here's where you'll demonstrate your proficiencies: - Embedded systems, firmware development with specific focus on Linux and real time embedded systems. - Developing advance firmware solutions fo…",https://www.adzuna.in/land/ad/5280448635?se=4leHXYto8BG13rKjgzy-6Q&utm_medium=api&utm_source=c8890522&v=881BDC092385D534DB0D1CF53682E87AFCCEC082,22.3511148,78.6677428,Embedded Developer – Biomedical Monitoring Systems,Firmware Developer
"Technologist, Firmware Engineering",SanDisk,"Bangalore, Karnataka",2025-07-24T09:53:30Z,Engineering Jobs,"Company Description Sandisk understands how people and businesses consume data and we relentlessly innovate to deliver solutions that enable today's needs and tomorrow's next big ideas. With a rich history of groundbreaking innovations in Flash and advanced memory technologies, our solutions have become the beating heart of the digital world we're living in and that we have the power to shape. Sandisk meets people and businesses at the intersection of their aspirations and the moment, enabling …",https://www.adzuna.in/land/ad/5319455548?se=4leHXYto8BG13rKjgzy-6Q&utm_medium=api&utm_source=c8890522&v=6F2FB51316E8EBF3FBF2AA83C701BC19ADCD6D97,12.9881567,77.6226,Software Engineer – Remote Patient Terminals,Firmware Developer
Sr Advanced Embedded Engr,Honeywell,"Bangalore, Karnataka",2025-07-24T09:52:47Z,Engineering Jobs,"Job Description of Sr Advanced Embedded Engineer Honeywell is a fortune 100 diversified technology and manufacturing leader, serving customers worldwide with aerospace products and services; control technologies for buildings, homes, and industry; automotive products; turbochargers; and specialty materials. Based in Morris Township, N.J., Honeywell's shares are traded on the New York, London, and Chicago Stock Exchanges. As a global technology leader, we have 123,000 employees working in more t…",https://www.adzuna.in/land/ad/5319454803?se=4leHXYto8BG13rKjgzy-6Q&utm_medium=api&utm_source=c8890522&v=BFC1144CEC9D7DFF20D67365FB22B5067F063491,12.95703,77.59837,Embedded Software Engineer – Automotive ECUs,Firmware Developer
