Title,Company,Location,Created,Category,Description,URL,Latitude,Longitude,mainJOB
Senior Enterprise Software Engineer,Medtronic,India,2025-07-29T17:00:05Z,Engineering Jobs,"At Medtronic you can begin a life-long career of exploration and innovation, while helping champion healthcare access and equity for all. You’ll lead with purpose, breaking down barriers to innovation in a more connected, compassionate world. A Day in the Life As Senior Enterprise Software Engineer, you will design, Develop and test Software high integrity software for medical devices. Responsibilities may include the following and other duties may be assigned Design, Develop and test Software …",https://www.adzuna.in/details/5326531880?utm_medium=api&utm_source=c8890522,22.3511148,78.6677428,Domain Expert
Principal Enterprise Software Engineer,Medtronic,India,2025-07-29T16:58:35Z,Engineering Jobs,"At Medtronic you can begin a life-long career of exploration and innovation, while helping champion healthcare access and equity for all. You’ll lead with purpose, breaking down barriers to innovation in a more connected, compassionate world. A Day in the Life Careers that Change Lives Principal Data Software Engineer in the Cardiac Rhythm Disease Management (CRDM) R&D Software Organization developing software supporting Medtronic implantable cardiac devices. The individual will operate in all …",https://www.adzuna.in/details/5326528715?utm_medium=api&utm_source=c8890522,22.3511148,78.6677428,Domain Expert
Enterprise Software Engineer - II,Medtronic,India,2025-07-29T17:06:10Z,Engineering Jobs,"At Medtronic you can begin a life-long career of exploration and innovation, while helping champion healthcare access and equity for all. You’ll lead with purpose, breaking down barriers to innovation in a more connected, compassionate world. A Day in the Life Careers that Change Lives Software Engineer II in the Cardiac Rhythm Management (CRM) R&D Software Organization developing software supporting Medtronic implantable cardiac devices working from the Medtronic Engineering and Innovation Cen…",https://www.adzuna.in/details/5326547998?utm_medium=api&utm_source=c8890522,22.3511148,78.6677428,Domain Expert
EAM - Domain Expert,Innovapptive,"Kyasaram, Hyderabad",2025-07-16T03:03:35Z,Engineering Jobs,"EAM - Domain Expert Location: Hyderabad, India Employment Type: Full-Time; Salaried Compensation: Base Salary, Bonus, Medical Job Description About Us: At Innovapptive, we are bringing the industrial front-line worker, back-office and assets together. Our platform is the only patented and “Code-Free” connected worker platform for SAP and IBM Maximo and is disrupting and digitizing archaic, tedious, & labor intensive paper-based processes for maintenance, operations, & supply chain. The industri…",https://www.adzuna.in/details/5304637526?utm_medium=api&utm_source=c8890522,17.38256,78.51234,Domain Expert
Senior Pipeline Engineer - TSI,BP Energy,India,2025-07-14T22:43:27Z,Engineering Jobs,"Entity: Production & Operations Job Family Group: Engineering Group Job Description: About us bp Technical Solutions India (TSI) centre in Pune, aims to build on bp’s existing engineering and technical strengths to deliver high quality services to its hydrocarbons and new energy businesses worldwide. TSI brings together diverse engineering capability to provide technical services across a range of areas including engineering, maintenance, optimization, data processes, projects and subsurface, t…",https://www.adzuna.in/land/ad/5302230304?se=dNAyJoVy8BGyDOfQ7aaPRw&utm_medium=api&utm_source=c8890522&v=6C0510D81F7DAE84805E2EA931F18EFFDE917279,22.3511148,78.6677428,Domain Expert
Process Engineer TSI (RUHM) - TSI,BP Energy,"Mangalwar Peth, Pune",2025-07-30T11:34:14Z,Engineering Jobs,"Entity: Production & Operations Job Family Group: Engineering Group Job Description: Would you like to discover how our diverse, hardworking people are leading the way in making energy cleaner and better – and how you can play your part in our world-class team? bp Technical Solutions India (TSI) centre in Pune, aims to build on bp’s existing engineering and technical strengths to deliver high quality services to its hydrocarbons and new energy businesses worldwide. TSI brings together diverse e…",https://www.adzuna.in/land/ad/5328006826?se=dNAyJoVy8BGyDOfQ7aaPRw&utm_medium=api&utm_source=c8890522&v=081062B0D4BF13F9620AB6065958DC28714FEF1C,18.52211,73.86126,Domain Expert
Lead Software Engineer - AI/ML Engineer,Siemens,"Pune, Maharashtra",2025-07-27T09:54:36Z,Engineering Jobs,"Job Family: Development Req ID: 465373 Hello Visionary!We empower our people to stay resilient and relevant in a constantly changing world. We're looking for people who are always searching for creative ways to grow and learn. People who want to make a real impact, now and in the future. Does that sound like you? Then it seems like you'd make a great addition to our vibrant team. Siemens founded the new business unit Siemens Foundational Technologies (formerly known as Siemens IoT Services) on …",https://www.adzuna.in/land/ad/5324153646?se=KgD6KIVy8BGV3tq7CpAJQA&utm_medium=api&utm_source=c8890522&v=C36911062D026A808CB919DFF2CDDE69FC157DEC,18.5062,73.84735,Domain Expert
V&V Test Engineer,Schneider Electric,India,2025-07-08T21:16:49Z,Engineering Jobs,· Understanding of IEC60884 and IEC60669 standards. · Experience in handling & managing global projects with global stakeholders for smart products · Rich Experience in preparing V&V plan · Independently handle/carry out testing as per national and international standards. · Plan and conduct test along with evaluating test results. · Ensure all testing activities for the project are performed conforming to the standard requirements. · Identifies and manages issues that arises in testing. · Mana…,https://www.adzuna.in/details/5292347396?utm_medium=api&utm_source=c8890522,22.3511148,78.6677428,Domain Expert
Senior Engineer - V&V,Arrow,"Bangalore, Karnataka",2025-07-13T02:25:55Z,Engineering Jobs,"Position: Senior Engineer - V&V Job Description: · 4 years of experience · Experience with DO-178B/C based V&V · Experience with python scripting (PyATE framework is added advantage) · Good understanding of C++ · Prior experience in Communication Navigation System traffic programs is preferred Location: IN-KA-Bangalore, India (eInfochips) Time Type: Full time Job Category: Engineering Services",https://www.adzuna.in/details/5300192830?utm_medium=api&utm_source=c8890522,12.95703,77.59837,Domain Expert
Verification and Validation Engineer,BASIL INDIA TECHNOLOGIES,"Pune, Maharashtra",2025-07-30T00:35:49Z,Engineering Jobs,Role V V Engineer Experience 6 to 9 Years Work Location Must have experience in or devices Educational Qualification should be UG or PG EEE mail your resumes to hidden email or WhatsApp 91 hidden mobile Consults with management assesses customer requirements and studies product characteristics to select validation objectives and standards,https://www.adzuna.in/details/5326928190?utm_medium=api&utm_source=c8890522,18.5062,73.84735,Domain Expert
