"Title","Company","Location","Created","Category","Description","URL","Latitude","Longitude"
"Engineer - Embedded Firmware Development","Qualcomm","Hyderabad, Telangana","2025-07-18T11:45:29Z","IT Jobs","Company: Qualcomm India Private Limited Job Area: Engineering Group, Engineering Group > Software Engineering General Summary: As a leading technology innovator, Qualcomm pushes the boundaries of what's possible to enable next-generation experiences and drives digital transformation to help create a smarter, connected future for all. As a Qualcomm Software Engineer, you will design, develop, create, modify, and validate embedded and cloud edge software, applications, and/or specialized utility …","https://www.adzuna.in/land/ad/5309607747?se=munTFcBn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=26D046D7544D4BC72B2A6E4E1A93EF573C3F8FCF","17.40275","78.50806"
"Engineer - Embedded Firmware Development","Eaton Corporation","Hadapsar, Pune","2025-07-03T01:45:06Z","Engineering Jobs","What you'll do: Understand product requirements, design and develop code , module level and system level embedded software design/coding, validation using programming languages like C & C++ on embedded systems running for Linux platforms for Circuit Protection products (Switchgears/Relays/Meters etc.). Involve in technical design including architectural and more detailed object oriented design . Providing project, process, and technical leadership on project activities & should contribute in pr…","https://www.adzuna.in/land/ad/5280444164?se=munTFcBn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=49DAF74878304953EB3825D6AAE9A35403CC4AA8","18.5219","73.95314"
"Senior Engineer - Embedded Firmware Development","Eaton Corporation","Hadapsar, Pune","2025-07-03T01:45:07Z","Engineering Jobs","What you'll do: Understand product requirements, design and develop code , module level and system level embedded software design/coding, validation using programming languages like C & C++ on embedded systems running for Linux platforms for Circuit Protection products (Switchgears/Relays/Meters etc.). Involve in technical design including architectural and more detailed object oriented design . Providing project, process, and technical leadership on project activities & should contribute in pr…","https://www.adzuna.in/land/ad/5280444184?se=munTFcBn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=212C2A4F387CE12C5B04E2BEFC8FF3F889EF6AA1","18.5219","73.95314"
"Engineer - Embedded SW Development","GE Vernova","Telangana, India","2025-07-18T11:44:15Z","IT Jobs","Job Description Summary Firmware Engineer will participate in embedded firmware development for the MarkVIe platforms. You will work in a global environment with a skilled cross functional team of engineers creating and improving state-of-the-art platform for use in every kind of power generation application. Job Description Essential Responsibilities: - Designing and implementing software of embedded devices and systems - Designing, developing, coding, testing and debugging system software - A…","https://www.adzuna.in/land/ad/5309606968?se=munTFcBn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=ECF538D8A592ABC234536A7EEC4821AF850D8619","17.864111","77.027375"
"Senior Embedded Firmware Developer","Rosmerta Technologies Limited","Gurgaon, Haryana","2025-07-11T22:56:03Z","IT Jobs","Company Overview Rosmerta Technologies Limited, part of the Rosmerta Group, is a pioneering leader in the E-governance, transport, and road safety domain in India. With a vast presence across the country and a diverse portfolio of automotive safety products and solutions, the company is committed to enhancing road safety and transportation management through innovative technologies. Headquartered in Gurugram, Haryana, Rosmerta is dedicated to digitization, transparency, and reliability in the a…","https://www.adzuna.in/details/5297943462?utm_medium=api&utm_source=c8890522","28.323996","76.983738"
"Cyber Sec Archt/Engr II","Honeywell","Pune, Maharashtra","2025-07-16T10:38:43Z","IT Jobs","This role is responsible for leading the Cyber related deliverables BA SAS India product line. The key areas of responsibilities include - Must have working knowledge and experience in secure lifecycle development process - Must be aware of secure design principles for Hardware, firmware, software - Must have keen understanding of end to end solutions architectures with IoT devices, firmware, software, REST API cloud, - Must have worked with cross functional team including various development t…","https://www.adzuna.in/land/ad/5305890394?se=munTFcBn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=1B0F53A547AA068DC3F24C351CDFA6887137286C","18.5062","73.84735"
"Lead Engineer 2 - Embedded SW Development","GE Vernova","Telangana, India","2025-07-19T11:45:04Z","Engineering Jobs","Job Description Summary Lead Firmware Engineer will participate in embedded firmware development for the MarkVIe platforms. You will work in a global environment with a skilled cross functional team of engineers creating and improving state-of-the-art platform for use in every kind of power generation application. Job Description Essential Responsibilities - Understand high level system requirements to define the architecture and low-level design requirements and do the implementation. - Design…","https://www.adzuna.in/land/ad/5311787482?se=munTFcBn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=DE4FC19B6E5FC56E450D9C5BA9E12F5D60FD8651","17.864111","77.027375"
"Weekend Drive -2nd August - Digital IT Positions","Flowserve Corporation","Bangalore, Karnataka","2025-07-16T10:38:21Z","Engineering Jobs","Flowserve is a world-leading manufacturer and aftermarket service provider of comprehensive flow control systems. Join a company whose people are committed to building a more sustainable future to make the world better for everyone. With 16,000 employees in 50 countries, we combine our global reach with local presence. Our team challenges themselves to approach each situation with ingenuity and creativity to help provide our customers with the most innovative flow control products and services.…","https://www.adzuna.in/land/ad/5305889644?se=munTFcBn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=6297DE870E162ECEEAF2EE8818E46919D45653C0","12.9881567","77.6226000"
"Tech Lead - Firmware","Resideo","India","2025-07-03T01:48:11Z","Engineering Jobs","We are looking for an Embedded Developer to design, develop, and optimize custom RTOS solutions for embedded systems. This role involves working closely with hardware, firmware, and application teams to deliver optimized embedded platforms. You will use your experience and technical skills to design and implement features targeted for the North American and European residential markets. Partner with world-class engineers and leaders, using your strategic thinking to anticipate problems, recogni…","https://www.adzuna.in/land/ad/5280448707?se=munTFcBn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=58B96E177F6FF926C358DE665840CA1C786118DA","22.3511148","78.6677428"
"Senior Engineer - Embedded Linux","Eaton Corporation","Hadapsar, Pune","2025-07-11T04:04:26Z","IT Jobs","What you'll do: Eaton Life Safety Division is looking for a talent who can develop next-generation technology solutions that change how users connect, explore, and interact with our devices. As a member of a creative, motivated, and talented team, we need versatile engineers who are passionate to tackle new problems as we continue to push technology forward. If you get excited about building new things and modernizing existing things, then our team is your next career step. Position's main focu…","https://www.adzuna.in/land/ad/5296918605?se=munTFcBn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=84AAC610665869A568031CF8FED46109596A44DD","18.5219","73.95314"
