"Title","Company","Location","Created","Category","Description","URL","Latitude","Longitude"
"System Integration Engineer","Emerson","Pune, Maharashtra","2025-07-13T10:38:12Z","Engineering Jobs","In this Role, Your Responsibilities Will Be: - System level software product testing (defining requirements to system planning and test execution). - Designing and executing test cases from a customer perspective - Creating and enhancing test configurations. - Discover, isolate and document product defects. - Validating repaired defects/faults - Configuring and maintaining large test systems and order new equipment as necessary - Gaining knowledge and experience in software testing. - Participa…","https://www.adzuna.in/land/ad/5300567655?se=IMkW9r5n8BGmlq-E_wGoOg&utm_medium=api&utm_source=c8890522&v=E72281F35C98199510EA09874509611F5AA6EBEA","18.5062","73.84735"
"Telehandler Systems Integration Engineer","Caterpillar, Inc.","India","2025-07-20T12:00:06Z","Engineering Jobs","Career Area: Engineering Job Description: Your Work Shapes the World at Caterpillar Inc. When you join Caterpillar, you're joining a global team who cares not just about the work we do - but also about each other. We are the makers, problem solvers, and future world builders who are creating stronger, more sustainable communities. We don't just talk about progress and innovation here - we make it happen, with our customers, where we work and live. Together, we are building a better world, so we…","https://www.adzuna.in/land/ad/5313258619?se=IMkW9r5n8BGmlq-E_wGoOg&utm_medium=api&utm_source=c8890522&v=A321C36397E0BBE358BBDA816474217348B5FA5B","22.3511148","78.6677428"
"Systems Integration Engineer","Bold Business","Mumbai, Maharashtra","2025-07-22T06:22:20Z","Engineering Jobs","About the Role We’re seeking a detail-oriented and innovative Automation, Integration & AI Specialist to join our growing team. In this role, you’ll drive efficiency across recruiting, sales, marketing, and operations by building automations, integrating tools, and applying AI solutions. You’ll work closely with cross-functional stakeholders to deliver scalable, tech-enabled solutions that power our business—and our clients’. About Bold Business Bold Business is a US-based global business proce…","https://www.adzuna.in/details/5315875167?utm_medium=api&utm_source=c8890522","19.00821","72.84415"
"System Integration Engineer","SUN Mobility","Bangalore, Karnataka","2025-06-25T10:06:25Z","Engineering Jobs","Hiring for Battery Application / System Integration Engineer Education: B.E or M.E Skills/Competencies Project Management Product Development Process Driving Execution Problem Solving Responsibilities: Should have a complete understanding of li ion battery pack design and development Build the requirements of battery pack, analysis, specification, validation, and management of requirements independently throughout the product life cycle Any product /sub-product development experience, taking it…","https://www.adzuna.in/details/5266677947?utm_medium=api&utm_source=c8890522","12.9881567","77.6226000"
"System Integration Engineer","Emerson","Pune, Maharashtra","2025-06-28T03:17:46Z","Engineering Jobs","Description In this Role, Your Responsibilities Will Be: System level software product testing (defining requirements to system planning and test execution). Designing and executing test cases from a customer perspective Creating and enhancing test configurations. Discover, isolate and document product defects. Validating repaired defects/faults Configuring and maintaining large test systems and order new equipment as necessary Gaining knowledge and experience in software testing. Participating…","https://www.adzuna.in/details/5272292926?utm_medium=api&utm_source=c8890522","18.5062","73.84735"
"Haptic Systems Integration Engineer","Apple","Bangalore, Karnataka","2025-07-01T20:26:34Z","Engineering Jobs","Key responsibilities for this role include providing critical on-site support for factory builds during early prototype and engineering build phases of various Apple programs leading up to Mass Production. This requires you to be able to dig deep into any problems that may arise during a factory build and think critically to help resolve them in a fast paced, data driven environment. You will be expected to meet a high standard for analysis and manufacturing discipline, and work with cross func…","https://www.adzuna.in/details/5277824636?utm_medium=api&utm_source=c8890522","12.9881567","77.6226000"
"Digital System Integration Engineer - Transformers","Hitachi","Chennai, Tamil Nadu","2025-07-19T02:42:48Z","Engineering Jobs","Location: Chennai, Tamil Nadu, India Job ID: R0093126 Date Posted: 2025-05-27 Company Name: HITACHI ENERGY TECHNOLOGY SERVICES PRIVATE LIMITED Profession (Job Category): Engineering & Science Job Schedule: Full time Remote: No Job Description: The opportunity: Transformer Digital Team Systems Integration Expert encompasses the integration and testing of embedded hardware/software solutions for the entire suite of Product Groups (PG) within the Transformer Business Unit (BU). How you’ll make an …","https://www.adzuna.in/details/5310707477?utm_medium=api&utm_source=c8890522","13.06041","80.24963"
"Private Cloud/AI System Integration Engineer","Hewlett Packard Enterprise","Bangalore, Karnataka","2025-07-16T02:38:43Z","IT Jobs","Private Cloud/AI System Integration Engineer This role has been designed as ‘’Onsite’ with an expectation that you will primarily work from an HPE office. Who We Are: Hewlett Packard Enterprise is the global edge-to-cloud company advancing the way people live and work. We help companies connect, protect, analyze, and act on their data and applications wherever they live, from edge to cloud, so they can turn insights into outcomes at the speed required to thrive in today’s complex world. Our cul…","https://www.adzuna.in/details/5304552064?utm_medium=api&utm_source=c8890522","12.95703","77.59837"
"System Integration Test Engineer","Apple","Bangalore, Karnataka","2025-07-01T20:28:33Z","IT Jobs","The Baseband system integration team is looking for an excellent engineer to join our organisation and help us drive quality and performance improvements in our cellular baseband products. You will be crafting efficient, robust, scalable development/testing infrastructure and tools. This is a highly technical hands-on role which requires in-depth technical understanding of software, hardware and test environments in a resource-constrained environment. You should be a person who is motivated, wh…","https://www.adzuna.in/details/5277827442?utm_medium=api&utm_source=c8890522","12.9881567","77.6226000"
"System Integration Test Engineer","Schneider Electric","Bangalore, Karnataka","2025-07-18T00:29:24Z","IT Jobs","Schneider Electric creates connected technologies that reshape industries, transform cities, and enrich lives. Our 150,000 employees thrive in more than 100 countries. From the simplest of switches to complex operational systems, our technology, software, and services improve the way our customers manage and automate their operations. Help us deliver solutions that ensure Life Is On everywhere, for everyone and at every moment: https://www.youtube.com/watch?v=VbldHPFltQQ&list=PLa7UGrWOTyjmJh_co…","https://www.adzuna.in/details/5308394382?utm_medium=api&utm_source=c8890522","12.95703","77.59837"
"System Integration Test Engineer","Schneider Electric","India","2025-06-27T03:09:01Z","IT Jobs","Qualifications. · Bachelor’s degree or higher in engineering or similar discipline, or extensive experience servicing, maintaining, commissioning or application design for Building Management Systems · Strong analytical and troubleshooting skills · Strong communication skills; both written and verbal · Fluent in English 5 years of Experience with intelligent Building Management Systems (BMS) gained by extensive field base work on any manufacture’s BMS · Knowledge of Windows based PC hardware/so…","https://www.adzuna.in/details/5270411558?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"System Integrator - Turbine","GE Vernova","Vadodara, Gujarat","2025-06-26T23:40:19Z","Engineering Jobs","Job Description Summary About our business GE Vernova is a planned, purpose-built global energy company that includes Power, Wind, and Electrification segments and is supported by its accelerator businesses of Advanced Research, Consulting Services, and Financial Services. Building on over 130 years of experience tackling the world's challenges, GE Vernova is uniquely positioned to help lead the energy transition by continuing to electrify the world while simultaneously working to decarbonize i…","https://www.adzuna.in/land/ad/5269939798?se=IMkW9r5n8BGmlq-E_wGoOg&utm_medium=api&utm_source=c8890522&v=6886D7423A802740D3C2344D514241969F905439","22.2891","73.1924"
"QA ENGINEER | Python, System Integration Testing, L2 to L7 Protocol (ISIS, OSPF, BGP, MPLS, L2VPN, L3VPN, EVPN, Segment Routing, SR-TE, SRv6, MPLS-TE, Multicast, SNMP, Network management tools| 4 to 6 Years","Cisco","Bangalore, Karnataka","2025-07-08T02:21:19Z","Engineering Jobs","QA ENGINEER | Python, System Integration Testing, L2 to L7 Protocol (ISIS, OSPF, BGP, MPLS, L2VPN, L3VPN, EVPN, Segment Routing, SR-TE, SRv6, MPLS-TE, Multicast, SNMP, Network management tools| 4 to 6 Years Apply (https://jobs.cisco.com/jobs/Login?projectId=1440435) - Location:Bangalore, India - Area of InterestEngineer - Network - Job TypeProfessional - Technology InterestNetworking - Job Id1440435 Who you'll work with The MIG BEST (Baseline Engineering & System Test) team at Cisco has embarke…","https://www.adzuna.in/land/ad/5290770940?se=IMkW9r5n8BGmlq-E_wGoOg&utm_medium=api&utm_source=c8890522&v=AFA9F066E3C775C56B11BCCD3821B41C0D37437E","12.95703","77.59837"
"Package Consultant-SAP Commerce","IBM","Bangalore, Karnataka","2025-07-20T12:01:22Z","IT Jobs","Introduction A career in IBM Consulting is rooted by long-term relationships and close collaboration with clients across the globe. You'll work with visionaries across multiple industries to improve the hybrid cloud and AI journey for the most innovative and valuable companies in the world. Your ability to accelerate impact and make meaningful change for your clients is enabled by our strategic partner ecosystem and our robust technology platforms across the IBM portfolio Your role and responsi…","https://www.adzuna.in/land/ad/5313260240?se=IMkW9r5n8BGmlq-E_wGoOg&utm_medium=api&utm_source=c8890522&v=6CBEBB0753AFB5B38FFEAB133D2EF87FB4C202FF","12.95703","77.59837"
