"Title","Company","Location","Created","Category","Description","URL","Latitude","Longitude"
"Product Architect","TeachEdison","Coimbatore, Tamil Nadu","2025-07-20T02:43:47Z","IT Jobs","Company Overview TeachEdison, headquartered in Bangalore, is a forward-thinking Education Technology Company focused on developing high-performance software for educators. We are dedicated to empowering knowledge commerce through our flagship platform, EdisonOS. Operating within the software development industry, our team consists of 11-50 innovative professionals committed to transforming the educational landscape. Job Overview We are seeking a skilled Product Architect to join our team in Coi…","https://www.adzuna.in/details/5312897368?utm_medium=api&utm_source=c8890522","11.017171","77.100203"
"AI ML Product Architect","DataSafeguard India","Mumbai, Maharashtra","2025-07-03T20:40:06Z","IT Jobs","Position Summary: - Seeking an AI/ML solution architect that envisions, builds, deploys and operationalizes an end-to-end machine learning AI product. We are looking for a Solution architect that has worked with BERT, TensorFlow, Python, Deep Learning, NLP, Contextual Analysis and other related ML technologies. We are also looking for a candidate that has strong experience with operationalizing an AI/ML based product including scaling, optimizing and ensuring high availability while minimizing …","https://www.adzuna.in/details/5281928686?utm_medium=api&utm_source=c8890522","19.00821","72.84415"
"Director- ServiceNow Product Architect for HR products","AstraZeneca","Chennai, Tamil Nadu","2025-07-05T20:45:00Z","IT Jobs","Job Title: Director- ServiceNow Product Architect for HR products GCL- F Introduction to role As a ServiceNow Employee Workflow Solution Architect, you will play a critical role in implementing and optimizing Employee Workflow solutions, with a particular focus on the HR & Workplace Service Delivery workflows, case management, and employee service centers. Your extensive experience and deep knowledge of the ServiceNow HRSD & WSD module will be pivotal in delivering solutions that meet enterpris…","https://www.adzuna.in/details/5287864779?utm_medium=api&utm_source=c8890522","13.06041","80.24963"
"Product Architect (SaaS AIML AWS)","The Techgalore","Noida, Ghaziabad","2025-07-03T20:35:16Z","IT Jobs","Solution & Technical Architecture Remote Contract - 3 to 6 months Technical Expertise * 10 years in software architecture, with 5 years in SaaS-based AI/ML solutions. * Proven experience with NLP, speech-to-text, transcription, and compliance analytics. * Hands-on expertise with AWS AI/ML services, including Amazon Transcribe, Contact Lens, Comprehend, Polly, and Translate. * Strong experience with Python, Java, or Node.js for AI/ML and data processing. * Familiarity with modern call center pla…","https://www.adzuna.in/details/5281914863?utm_medium=api&utm_source=c8890522","28.56579","77.3225"
"Product Architect - [ Quantum Computing / AI ML ]","Tata Consultancy Services","Hyderabad, Telangana","2025-07-14T09:36:36Z","IT Jobs","Dear Aspirant, Greetings from TCS ! TCS presents excellent opportunity for Product Architect [ Quantum Computing, Optimization, AI/ML ] Experience: 10 - 20 Years Job Location: Chennai / Bangalore / Hyderabad / Mumbai / Pune / Kolkata / Mumbai / Pune / Delhi / Noida / Gurgaon Quantum Computing, Optimization, AI/ML Technical Expertise: Strong understanding of software development concepts and coding skills. System Design & Modeling: Ability to design and model complex software systems. Communicat…","https://www.adzuna.in/details/5301593613?utm_medium=api&utm_source=c8890522","17.40275","78.50806"
"Lead Application and Product Architect ( UI Architect )","Wolters Kluwer","India","2025-07-14T02:26:14Z","IT Jobs","About the Role: As a Lead in Application/Product Architecture, you play a crucial role in independently executing specialized architectural tasks and supporting broader team projects. Your focus will be on creating innovative, integrated architectural solutions that drive product excellence. You will be instrumental in ensuring quality outcomes through your expertise and leadership in technical planning, design, and implementation. We are seeking a highly skilled UI Architect to join our team. …","https://www.adzuna.in/details/5301280949?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Senior Engineer I | On-site, Bangalore","Optiv","Bangalore, Karnataka","2025-06-26T23:41:00Z","IT Jobs","Endpoint Senior Engineer, Cyber Operations is responsible for post-sales product and service implementation. Sr. Endpoint Engineers are responsible for completing assigned projects in a manner consistent with the team's Operational Standard, which emphasizes the importance of providing exceptional customer service. They are also responsible for meeting consulting billing objectives. How you'll make an impact : - Experience in Endpoint Security Platforms e.g. AV, Endpoint Detection and Response,…","https://www.adzuna.in/land/ad/5269956198?se=WFlZM71n8BGKI6JUBKSKRg&utm_medium=api&utm_source=c8890522&v=35752F681A247A448F4A3ED2DFAAF7A176B08D8C","12.95703","77.59837"
"Product Cybersecurity Architect","Kiddie Global Solutions","Aperl, Hyderabad","2025-07-13T02:28:55Z","IT Jobs","Location: 4th Floor, Tower 110, The Spire, Plot No. 4, Survey No. 83/1, Hyderabad Knowledge City Layout, Raidurgam (Panmaqtha) Village, Serilingampally Mandal, Hyderabad – 500032, Telangana Product Cybersecurity Architect Kidde Global Solutions (KGS) is one of the world’s largest manufacturers of residential and commercial fire and life safety products. Each day, we work to expand upon our legacy of innovation, providing advanced solutions to protect people and property from fire and related ha…","https://www.adzuna.in/details/5300199441?utm_medium=api&utm_source=c8890522","17.21535","78.34985"
"Product Mgmt Architect","The Walt Disney Company","India","2025-07-19T02:32:09Z","IT Jobs","Job Posting Title: Product Mgmt Architect Req ID: 10126456 Job Description: Technology is at the heart of Disney’s past, present, and future. Disney Entertainment and ESPN Product & Technology is a global organization of engineers, product developers, designers, technologists, data scientists, and more – all working to build and advance the technological backbone for Disney’s media business globally. The team marries technology with creativity to build world-class products, enhance storytelling…","https://www.adzuna.in/details/5310687743?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Product System Architect","IND Aptiv Components India Private","India","2025-06-30T03:18:18Z","IT Jobs","Major Accountabilities: Lead the design and development of product system architectures, ensuring alignment with business objectives, customer requirements, and industry standards. Define the overall structure, components, interfaces, and behaviors of complex automotive systems to meet functional and non-functional requirements. Analyze the capabilities and limitations of product systems to ensure they meet performance, reliability, and safety requirements. Gather, analyze, and prioritize stake…","https://www.adzuna.in/details/5275194780?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
