"Title","Company","Location","Created","Category","Description","URL","Latitude","Longitude"
"Technical Project Coordinator","Renesas","Bangalore, Karnataka","2025-07-03T01:48:08Z","IT Jobs","Technical Project Coordinator Job Description - Looking for candidates with 5-7 years 'relevant experience into project coordination. - Responsible for managing projects to make sure the proposed plan adheres to the timeline, budget, and scope. - Will be involved in the development process of the project, will require coding experience in Azure DataBricks, Power BI or any other BI tool development experience. - Planning projects in detail, setting schedules for all stakeholders and executing ea…","https://www.adzuna.in/land/ad/5280448668?se=oJSE-cBn8BGEk9iNyjdi_g&utm_medium=api&utm_source=c8890522&v=F3A6F9DC998D2915FD3038298B660886D06589FD","12.9881567","77.6226000"
"Technical Project Coordinator","Triangulas HR Solutions LLP","Cahmrajendrapet, Bangalore","2025-07-10T15:13:16Z","IT Jobs","Role: The Client is looking for a detail-oriented and proactive Technical Project Coordinator with 3 to 5 years of experience, preferably in Healthcare IT , to support the successful planning and execution of technical projects. The ideal candidate will assist project managers in coordinating deliverables across internal business teams and external technology vendors, ensuring timely and quality execution aligned with healthcare compliance standards. Responsibilities: Coordinate daily project a…","https://www.adzuna.in/details/5295520096?utm_medium=api&utm_source=c8890522","12.96745","77.5822"
"Technical Project Coordinator","Renesas Electronics","Bangalore, Karnataka","2025-07-02T04:52:49Z","IT Jobs","Job Description Looking for candidates with 5-7 years ’relevant experience into project coordination. Responsible for managing projects to make sure the proposed plan adheres to the timeline, budget, and scope. Will be involved in the development process of the project, will require coding experience in Azure DataBricks, Power BI or any other BI tool development experience. Planning projects in detail, setting schedules for all stakeholders and executing each step of the project. Project manage…","https://www.adzuna.in/details/5278751220?utm_medium=api&utm_source=c8890522","12.9881567","77.6226000"
"Technical Project Coordinator","Element 8","Kozhikode, Kerala","2025-07-17T00:30:58Z","IT Jobs","You will be responsible for leading the execution of web and mobile applications for B2B and B2C clients with a focus on usability agility and AIpowered delivery As a Technical Project Coordinator you will serve as the main bridge between clients and internal teams translating client needs into actionable plans and leading project planning sprints timelines and delivery workflows Your role will involve ensuring UX and usability are embedded throughout the product lifecycle supporting developers…","https://www.adzuna.in/details/5306728640?utm_medium=api&utm_source=c8890522","11.16223","75.81366"
"Senior Technical Lead & Developer - Network Tools","Ford Motor Company","Chennai, Tamil Nadu","2025-07-22T09:54:49Z","IT Jobs","As a member of the Tools team within the Network Services Department, you will play a key role in designing and developing innovative self-service and automation tools that enhance the productivity and quality of network infrastructure tasks. Our Network Tools portfolio comprises custom-built software solutions that empower network teams with automation capabilities, intuitive dashboards, and self-service features, ultimately driving efficiency and excellence in enterprise network infrastructur…","https://www.adzuna.in/land/ad/5315976001?se=oJSE-cBn8BGEk9iNyjdi_g&utm_medium=api&utm_source=c8890522&v=8A99F43B793EE9F8E42984F3C2E7D001D8C9ACE5","13.06041","80.24963"
"Engineer - Hydraulics","WSP USA","Bangalore, Karnataka","2025-07-23T09:54:08Z","Engineering Jobs","- You will work in different projects in hydrotechnical engineering such as dam safety review, hydropower, flood mapping, banks stabilisation, fish ladder, ice and bridge hydraulic studies; - You will conduct hydrological analysis (PMF study, flood frequency analysis, hydrological modelling); - You will conduct various hydrotechnical analyses for different projects; - You will perform hydraulic and hydrological modeling (HEC-RAS 1D/2D, Telemac 2D, Flow 3D, HEC-HMS, HYFRAN, RAVEN, etc.); - You w…","https://www.adzuna.in/land/ad/5317567529?se=oJSE-cBn8BGEk9iNyjdi_g&utm_medium=api&utm_source=c8890522&v=A9FF08E509576231A31B130AF2CA84870C385A1E","12.9881567","77.6226000"
"Principal Software Engineer","Takeda Pharmaceuticals","Bangalore, Karnataka","2025-07-19T11:46:13Z","IT Jobs","By clicking the ""Apply"" button, I understand that my employment application process with Takeda will commence and that the information I provide in my application will be processed in line with Takeda's Privacy Notice and Terms of Use . I further attest that all information I submit in my employment application is true to the best of my knowledge. Job Description Principal Software Engineer The Future Begins Here At Takeda, we are leading digital evolution and global transformation. By building…","https://www.adzuna.in/land/ad/5311788641?se=oJSE-cBn8BGEk9iNyjdi_g&utm_medium=api&utm_source=c8890522&v=3E0652A61739BB1BFC7158F769FFBDF8A86393E6","12.9881567","77.6226000"
"BIM Engineer - Fire Life Safety","WSP USA","Noida, Ghaziabad","2025-07-02T01:43:13Z","Engineering Jobs","- Deliver high quality information, data and models to the Appointing Party and ensure that the delivery of information within the supply chain is in compliance with the contract requirements. - Close liaison with the project team and act as point of contact - Follow project BEP in line with the organization's standard and ensure collaborative inputs from different stakeholders are well coordinated and embedded. - Provide Quality Assurance dealing with the Implementation and Administration of B…","https://www.adzuna.in/land/ad/5278418327?se=oJSE-cBn8BGEk9iNyjdi_g&utm_medium=api&utm_source=c8890522&v=2B9D763E9E6979A164BBF9F03516E454C58957A9","28.56579","77.3225"
"Technical Project Co-ordinator","element8","Koyilandi, Kozhikode","2025-07-19T02:48:19Z","IT Jobs","Location : Calicut (Kozhikode, On-site) Experience : 4–8 years Industry : Web & Mobile Development Type : Full-Time | On-site We’re hiring a Technical Project Coordinator with a background in software development to lead execution of web and mobile app projects. You’ll act as the link between clients and developers, manage timelines, and ensure smooth delivery. This is a great fit for candidates who are tech-savvy, organized, and eager to grow in digital project management. Key Requirements 4–8…","https://www.adzuna.in/details/5310725653?utm_medium=api&utm_source=c8890522","11.19155","75.82985"
"Sr Advanced Mech Design Engr","Honeywell","Bangalore, Karnataka","2025-07-16T10:38:41Z","Engineering Jobs","POSITION: Sr. Advanced R&D engineer - Aero CS Skills/Qualifications: Sr. Advanced Mechanical Design Engineer - Aero Adv. Control Systems (CS) QUALIFICATION: M.Tech in Mechanical Engineering with 11-12 years of Experience. Aerospace products Mechanical Analysis experience is must. EXPERIENCE: 11-14 Years ESSENTIAL SKILLS: · Working towards outlined objectives, plans, directs and coordinates assigned technical projects from conception and proposal through the completion of qualification testing a…","https://www.adzuna.in/land/ad/5305890299?se=oJSE-cBn8BGEk9iNyjdi_g&utm_medium=api&utm_source=c8890522&v=EA5CB61921C27FF067209F38210AB7930AFDDDB5","12.95703","77.59837"
"Technical Sales Manager","Vertiv Group","Bangalore, Karnataka","2025-07-02T20:25:28Z","Engineering Jobs","Description Job Summary The Solutions Architect has deep domain knowledge in data center design, data center products and data center trends. Leveraging experience in mission critical applications a Solution Architect can think quickly and pull from Vertiv’s vast resources to solve customer needs. Customer facing role, working as a resource to Vertiv account teams. Able to digest customer requirements, communicate to Pre-Sales design team, Bid Management team and Senior Management necessary det…","https://www.adzuna.in/details/5279993311?utm_medium=api&utm_source=c8890522","12.9881567","77.6226000"
