"Title","Company","Location","Created","Category","Description","URL","Latitude","Longitude"
"Lead PCB Design ENgineer","TE Connectivity","Bangalore, Karnataka","2025-07-04T02:21:03Z","Engineering Jobs","Lead PCB Design ENgineer At TE, you will unleash your potential working with people from diverse backgrounds and industries to create a safer, sustainable and more connected world. Job Overview TE Connectivity's R&D/Product Development Engineering Teams conceive original ideas for new products, introduce them into practice. PCB engineer is scalable to contribute individually. He/she is responsible for delivering the project from schematic scratch till the board get fabricated. Stackup analysis,…","https://www.adzuna.in/land/ad/5282462744?se=PNelgTJp8BGGFe6-FXbQtw&utm_medium=api&utm_source=c8890522&v=7AC7CBB68E9E21FDA46EAFFD1D69B5BAA935A12E","12.95703","77.59837"
"PCB Design Engineer","Presage Insights","Noida, Ghaziabad","2025-07-25T01:12:35Z","Engineering Jobs","Job Title: PCB Design Engineer Company Overview: Presage Insights is a dynamic organization focused on delivering innovative solutions to the electronics industry. Our commitment to excellence drives every project we undertake, and we value creativity, teamwork, and dedication. We are looking for a skilled PCB Design Engineer to join our team in India. This is an on-site position that offers a collaborative environment where engineers can thrive and make a tangible impact within the industry. R…","https://www.adzuna.in/details/5320181675?utm_medium=api&utm_source=c8890522","28.56579","77.3225"
"PCB Design Engineer","ATLANTA SYSTEMS PVT LTD","Sansad Marg, New Delhi","2025-06-26T03:26:05Z","Engineering Jobs","Company Name: Atlanta Systems Pvt. Ltd. Company URL: www.atlantasys.com Head Quarter: Connaught Place, New Delhi About us - Based in Delhi with 30 years of experience, we specialize in providing simplified IT solutions tailored to our customers' needs. Our service delivery model caters to all budgets and security needs, ensuring mission-critical support. We work closely with clients to implement affordable excellence, bridging the gap between business realities and IT solutions. Profile: PCB & …","https://www.adzuna.in/details/5268384014?utm_medium=api&utm_source=c8890522","28.62623","77.21808"
"PCB Layout Design Engineer","Magna International, Inc","India","2025-07-24T06:19:11Z","Engineering Jobs","We see a future where everyone can live and move without limitations. That's why we are developing technologies, systems and concepts that make vehicles safer and cleaner, while serving our communities, the planet and, above all, people. In the right environment, your ideas can turn into industry-changing automotive technologies and improve the lives of people around the world. Let's create the future of mobility, together. What we offer: At Magna, you can expect an engaging and dynamic environ…","https://www.adzuna.in/details/5319303774?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Printed Circuit Board Design Engineer","Confidential Company","Bangalore, Karnataka","2025-06-25T10:04:52Z","Engineering Jobs","We are now hiring for India’s leading player in the personal mobility and urban transport transformation solutions sector, which exports its 2 and 3 wheelers to over 70 countries and clocking a revenue of approximately, US$ 6.Billion in the last fiscal year. Job Title - PCB design engineer Location: Bangalore Department: R&D – EV Electronics (HVDC Hardware) Education: Essential: B.E./B.Tech in Electrical, Electronics, Instrumentation, or Equivalent Streams (min. 80% at all education levels) Exp…","https://www.adzuna.in/details/5266676764?utm_medium=api&utm_source=c8890522","12.9881567","77.6226000"
"Tech Lead (Hardware)","Arrow","India","2025-07-13T02:35:29Z","Engineering Jobs","Position: Tech Lead (Hardware) Job Description: Principal Accountabilities: * Coordination of design teams and representation in project meetings * Responsible for requirement collection, architecture/ high-level block diagram design, PCB layout verification, considering EMI/EMC issues, design validation & integration, component selection, prototype construction, debugging, board and system level testing. schematic and layout review in an accurate way * Guiding the PCB layout design engineer du…","https://www.adzuna.in/details/5300210593?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Tech Lead (Hardware)","Arrow","Ahmedabad, Gujarat","2025-07-13T02:25:11Z","Engineering Jobs","Position: Tech Lead (Hardware) Job Description: Principal Accountabilities: * Coordination of design teams and representation in project meetings * Responsible for requirement collection, architecture/ high-level block diagram design, PCB layout verification, considering EMI/EMC issues, design validation & integration, component selection, prototype construction, debugging, board and system level testing. schematic and layout review in an accurate way * Guiding the PCB layout design engineer du…","https://www.adzuna.in/details/5300185350?utm_medium=api&utm_source=c8890522","23.042","72.59465"
"Manager, Engineering","Danfoss","Pune, Maharashtra","2025-06-28T23:44:11Z","Engineering Jobs","Manager, Engineering Requisition ID: 44604 Job Location(s): Pune, IN Employment Type: Full Time Segment: Danfoss Power Solutions Segment Job Function: R&D, Technology and Engineering Work Location Type: On-site Job Description The primary function of this role is to lead a team of high-performing Electronic product engineers at Pune that deliver the products for future industrial machines. Provide leadership for developing competitiveness of new products, cost out initiatives, localization, PMI…","https://www.adzuna.in/land/ad/5273722684?se=PNelgTJp8BGGFe6-FXbQtw&utm_medium=api&utm_source=c8890522&v=30DBE274DEB86FF10056D578FFAE8E960F5309A0","18.5062","73.84735"
"Power Electronics Engineer","SolarEdge","India","2025-07-25T06:43:46Z","Engineering Jobs","Are you ready to power the future? At SolarEdge (NASDAQ: SEDG), we're a global leader in smart energy technology, with over 4,000 employees, offices in 34 countries, and millions of installations worldwide. Our innovative solutions include solar inverters, battery storage, backup systems, EV charging, and AI-based energy management. We're committed to making clean, green energy the primary power source for homes, businesses, and beyond . With the growing demand for electricity, the need for sma…","https://www.adzuna.in/details/5321069289?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Senior Power Electronics Engineer","SolarEdge","India","2025-07-25T06:43:45Z","Engineering Jobs","Are you ready to power the future? At SolarEdge (NASDAQ: SEDG), we're a global leader in smart energy technology, with over 4,000 employees, offices in 34 countries, and millions of installations worldwide. Our innovative solutions include solar inverters, battery storage, backup systems, EV charging, and AI-based energy management. We're committed to making clean, green energy the primary power source for homes, businesses, and beyond. With the growing demand for electricity, the need for smar…","https://www.adzuna.in/details/5321069169?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
