Title,Company,Location,Created,Category,Description,URL,Latitude,Longitude,Best Job Role
System Integration Engineer,Emerson,"Pune, Maharashtra",2025-07-13T10:38:12Z,Engineering Jobs,"In this Role, Your Responsibilities Will Be: - System level software product testing (defining requirements to system planning and test execution). - Designing and executing test cases from a customer perspective - Creating and enhancing test configurations. - Discover, isolate and document product defects. - Validating repaired defects/faults - Configuring and maintaining large test systems and order new equipment as necessary - Gaining knowledge and experience in software testing. - Participa…",https://www.adzuna.in/land/ad/5300567655?se=_siwaDJp8BGOTMe40IxpVA&utm_medium=api&utm_source=c8890522&v=E72281F35C98199510EA09874509611F5AA6EBEA,18.5062,73.84735,Integration Engineer – Power Conversion Systems
Telehandler Systems Integration Engineer,"Caterpillar, Inc.",India,2025-07-20T12:00:06Z,Engineering Jobs,"Career Area: Engineering Job Description: Your Work Shapes the World at Caterpillar Inc. When you join Caterpillar, you're joining a global team who cares not just about the work we do - but also about each other. We are the makers, problem solvers, and future world builders who are creating stronger, more sustainable communities. We don't just talk about progress and innovation here - we make it happen, with our customers, where we work and live. Together, we are building a better world, so we…",https://www.adzuna.in/land/ad/5313258619?se=_siwaDJp8BGOTMe40IxpVA&utm_medium=api&utm_source=c8890522&v=A321C36397E0BBE358BBDA816474217348B5FA5B,22.3511148,78.6677428,Product Integration Technician – Wearable Biomedical Devices
Systems Integration Engineer,Bold Business,"Mumbai, Maharashtra",2025-07-22T06:22:20Z,Engineering Jobs,"About the Role We’re seeking a detail-oriented and innovative Automation, Integration & AI Specialist to join our growing team. In this role, you’ll drive efficiency across recruiting, sales, marketing, and operations by building automations, integrating tools, and applying AI solutions. You’ll work closely with cross-functional stakeholders to deliver scalable, tech-enabled solutions that power our business—and our clients’. About Bold Business Bold Business is a US-based global business proce…",https://www.adzuna.in/details/5315875167?utm_medium=api&utm_source=c8890522,19.00821,72.84415,Integration Engineer – Consumer Gadget Integration
System Integration Engineer,SUN Mobility,"Bangalore, Karnataka",2025-06-25T10:06:25Z,Engineering Jobs,"Hiring for Battery Application / System Integration Engineer Education: B.E or M.E Skills/Competencies Project Management Product Development Process Driving Execution Problem Solving Responsibilities: Should have a complete understanding of li ion battery pack design and development Build the requirements of battery pack, analysis, specification, validation, and management of requirements independently throughout the product life cycle Any product /sub-product development experience, taking it…",https://www.adzuna.in/details/5266677947?utm_medium=api&utm_source=c8890522,12.9881567,77.6226,Product Integration Technician – EV Battery Modules
System Integration Engineer,Emerson,"Pune, Maharashtra",2025-06-28T03:17:46Z,Engineering Jobs,"Description In this Role, Your Responsibilities Will Be: System level software product testing (defining requirements to system planning and test execution). Designing and executing test cases from a customer perspective Creating and enhancing test configurations. Discover, isolate and document product defects. Validating repaired defects/faults Configuring and maintaining large test systems and order new equipment as necessary Gaining knowledge and experience in software testing. Participating…",https://www.adzuna.in/details/5272292926?utm_medium=api&utm_source=c8890522,18.5062,73.84735,Integration Engineer – Power Conversion Systems
Systems Integration Engineer,Bold Business,India,2025-07-25T02:40:27Z,Engineering Jobs,"About the Role We’re seeking a detail-oriented and innovative Automation, Integration & AI Specialist to join our growing team. In this role, you’ll drive efficiency across recruiting, sales, marketing, and operations by building automations, integrating tools, and applying AI solutions. You’ll work closely with cross-functional stakeholders to deliver scalable, tech-enabled solutions that power our business—and our clients’. About Bold Business Bold Business is a US-based global business proce…",https://www.adzuna.in/details/5320678209?utm_medium=api&utm_source=c8890522,22.3511148,78.6677428,Integration Engineer – Consumer Gadget Integration
Haptic Systems Integration Engineer,Apple,"Bangalore, Karnataka",2025-07-01T20:26:34Z,Engineering Jobs,"Key responsibilities for this role include providing critical on-site support for factory builds during early prototype and engineering build phases of various Apple programs leading up to Mass Production. This requires you to be able to dig deep into any problems that may arise during a factory build and think critically to help resolve them in a fast paced, data driven environment. You will be expected to meet a high standard for analysis and manufacturing discipline, and work with cross func…",https://www.adzuna.in/details/5277824636?utm_medium=api&utm_source=c8890522,12.9881567,77.6226,Integration Engineer – Telemetry & Data Acquisition Units
Digital System Integration Engineer - Transformers,Hitachi,"Chennai, Tamil Nadu",2025-07-19T02:42:48Z,Engineering Jobs,"Location: Chennai, Tamil Nadu, India Job ID: R0093126 Date Posted: 2025-05-27 Company Name: HITACHI ENERGY TECHNOLOGY SERVICES PRIVATE LIMITED Profession (Job Category): Engineering & Science Job Schedule: Full time Remote: No Job Description: The opportunity: Transformer Digital Team Systems Integration Expert encompasses the integration and testing of embedded hardware/software solutions for the entire suite of Product Groups (PG) within the Transformer Business Unit (BU). How you’ll make an …",https://www.adzuna.in/details/5310707477?utm_medium=api&utm_source=c8890522,13.06041,80.24963,Integration Engineer – Consumer Gadget Integration
PSI Engineer - TSI,BP Energy,"Mangalwar Peth, Pune",2025-07-23T21:53:12Z,Engineering Jobs,"Entity: Production & Operations Job Family Group: Engineering Group Job Description: Job Description The PSI engineer (delivery focused) has Experience support in implementing a new RBI program at an operating facility or at least 5 years of hands on experience maintaining an existing RBI program. Involvement and part of the major changes across organizational, geographic and cultural boundaries. Demonstrated ability to follow the company’s standard practices and influence diverse collaborators…",https://www.adzuna.in/land/ad/5318211554?se=_siwaDJp8BGOTMe40IxpVA&utm_medium=api&utm_source=c8890522&v=493E58852821B49E29A93F25A1665E33E0A4190B,18.52211,73.86126,Product Integration Technician – Wearable Biomedical Devices
System Integrator - Turbine,GE Vernova,"Vadodara, Gujarat",2025-06-26T23:40:19Z,Engineering Jobs,"Job Description Summary About our business GE Vernova is a planned, purpose-built global energy company that includes Power, Wind, and Electrification segments and is supported by its accelerator businesses of Advanced Research, Consulting Services, and Financial Services. Building on over 130 years of experience tackling the world's challenges, GE Vernova is uniquely positioned to help lead the energy transition by continuing to electrify the world while simultaneously working to decarbonize i…",https://www.adzuna.in/land/ad/5269939798?se=_siwaDJp8BGOTMe40IxpVA&utm_medium=api&utm_source=c8890522&v=6886D7423A802740D3C2344D514241969F905439,22.2891,73.1924,Product Integration Technician – Wearable Biomedical Devices
