Title,Company,Location,Created,Category,Description,URL,Latitude,Longitude,BestJobRole
Electrical Wiring Harness Engineer,Expleo,"Cahmrajendrapet, Bangalore",2025-07-04T02:57:42Z,Engineering Jobs,Electrical Wiring Harness Engineer The Electrical Wiring Harness Engineer will have a broad electrical engineering background as well as strong proficiency in CAD & PLM tools and have ability to tackle difficult engineering problems. Experience in enclosure / cabinet structures is preferred. Key roles and responsibilities for the Electrical Wiring Harness Engineer include: • Experience in creation of wiring harness drawing using PTC Creo. Able to develop parametric 3D CAD models in PTC Creo for…,https://www.adzuna.in/details/5282511818?utm_medium=api&utm_source=c8890522,12.96745,77.5822,Mechanical Designer – Thermal Management Systems
"Senior Engineer, Mechanical",Danfoss,India,2025-07-22T09:54:46Z,Engineering Jobs,"Senior Engineer, Mechanical Requisition ID: 44962 Job Location(s): Oragadam, IN Employment Type: Full Time Segment: Danfoss Power Electronics and Drives Seg Job Function: R&D, Technology and Engineering Work Location Type: On-site Job Description Danfoss is looking for a Senior Engineer - Mechanical to be part of the Product Engineering Center in Danfoss Drives Division and will report to the Mechanical Manager, PEC, INDI Danfoss gives you unique opportunities to put your skills to good use, ma…",https://www.adzuna.in/land/ad/5315975994?se=ggC_KjNp8BGGFe6-FXbQtw&utm_medium=api&utm_source=c8890522&v=418384DDE9F15C0EDEA15A0D246EE5D4F1AAB394,22.3511148,78.6677428,Mechanical Designer – EV Power Modules
Senior Lead Engineer Structural analysis-Hybrid,RTX Corporation,"Bangalore, Karnataka",2025-07-12T10:46:10Z,Engineering Jobs,"Date Posted: 2025-07-21 Country: India Location: North Gate Business Park Sy.No 2/1, and Sy.No 2/2, KIAL Road, Venkatala Village, Chowdeshwari Layout, Yelahanka, Bangalore, Karnataka 560064 Position Role Type: Unspecified Overview: In this role, the Senior Lead Engineer (Stress) will actively participate in structural analysis for NPI (New Product Introduction), redesign and technology programs of Collins Aerospace Advanced Structures business unit and will support various Advance structures pr…",https://www.adzuna.in/land/ad/5299205370?se=ggC_KjNp8BGGFe6-FXbQtw&utm_medium=api&utm_source=c8890522&v=D3C3BF67466DFA9B82BFED36FEDFAFC938A43EE2,12.95703,77.59837,Mechanical Designer – Thermal Management Systems
Hardware MedTech,Tata Consultancy Services,"Bangalore, Karnataka",2025-07-07T09:16:32Z,Engineering Jobs,"Job Title: Hardware MedTech Technical/Functional Skills: Must have skills Develop systems architecture, prototypes, analyze and design electronic and electro-mechanical sub-assemblies. Product design within regulatory requirements per applicable US and other relevantmedical device directives providing leadership to cross functional engineering teams, including design and quality. 8 years of product development leadership experience, leading significant projects from early-stage development to p…",https://www.adzuna.in/details/5289689882?utm_medium=api&utm_source=c8890522,12.9881567,77.6226,Mechanical Designer – Thermal Management Systems
Senior Lead Engineer Structural analysis-Hybrid,RTX,"Yelahanka, Bangalore",2025-07-15T02:35:16Z,Engineering Jobs,"Date Posted: 2025-04-30 Country: India Location: North Gate Business Park Sy.No 2/1, and Sy.No 2/2, KIAL Road, Venkatala Village, Chowdeshwari Layout, Yelahanka, Bangalore, Karnataka 560064 Position Role Type: Unspecified Overview: In this role, the Senior Lead Engineer (Stress) will actively participate in structural analysis for NPI (New Product Introduction), redesign and technology programs of Collins Aerospace Advanced Structures business unit and will support various Advance structures pr…",https://www.adzuna.in/details/5302579614?utm_medium=api&utm_source=c8890522,13.1185,77.58085,Mechanical Designer – Thermal Management Systems
Senior Engineer-Mechanical,Enphase Energy,"Bangalore, Karnataka",2025-07-15T08:37:21Z,Engineering Jobs,"Description Enphase Energy is a global energy technology company and leading provider of solar, battery, and electric vehicle charging products. Founded in 2006, Enphase transformed the solar industry with our revolutionary microinverter technology, which turns sunlight into a safe, reliable, resilient, and scalable source of energy to power our lives. Today, the Enphase Energy System helps people make, use, save, and sell their own power. Enphase is also one of the fastest growing and innovati…",https://www.adzuna.in/details/5303064042?utm_medium=api&utm_source=c8890522,12.9881567,77.6226,Mechanical Designer – Energy Storage Systems
Mechanical New Product Design in Electronics Products,L&T Technology Services,"Bangalore, Karnataka",2025-07-14T09:36:39Z,Engineering Jobs,"New Product Design for Electronics Products (Mobile / Tablet / Laptop / Handheld computers / Point of Sale Device) Experience in Consumer Electronic Product Design and Manufacturing Small Form factor design Mechanical Design of (OLED/LCD, batteries, sensing, Cellular, GPS, Wi-Fi, BT, microphone, speaker, receiver, camera) Mechanical Design for EMI, EMC, ESD, Thermal Management, RF, Cellular, GPS, Wi-Fi, BT Design for Rugged products (IP rating, water, dust, Shock, Drop, Explosion proof) (IP Rat…",https://www.adzuna.in/details/5301594060?utm_medium=api&utm_source=c8890522,12.9881567,77.6226,Mechanical Design Engineer – Consumer Electronics Housings
Hardware MedTech,Tata Consultancy Services,"Bangalore, Karnataka",2025-07-07T09:16:32Z,Engineering Jobs,"Job Title: Hardware MedTech Technical/Functional Skills: Must have skills Develop systems architecture, prototypes, analyze and design electronic and electro-mechanical sub-assemblies. Product design within regulatory requirements per applicable US and other relevantmedical device directives providing leadership to cross functional engineering teams, including design and quality. 8 years of product development leadership experience, leading significant projects from early-stage development to p…",https://www.adzuna.in/details/5289689882?utm_medium=api&utm_source=c8890522,12.9881567,77.6226,Mechanical Designer – Thermal Management Systems
Mechanical Engineering Design,Xylem,"Vadodara, Gujarat",2025-07-03T01:48:54Z,Engineering Jobs,"Xylem is a Fortune 500 global water solutions company dedicated to advancing sustainable impact and empowering the people who make water work every day. As a leading water technology company with 23,000 employees operating in over 150 countries, Xylem is at the forefront of addressing the world's most critical water challenges. We invite passionate individuals to join our team, dedicated to exceeding customer expectations through innovative and sustainable solutions. Mechanical Engineering Desi…",https://www.adzuna.in/land/ad/5280449625?se=YuJQNjNp8BGC99c6DT825g&utm_medium=api&utm_source=c8890522&v=083BA37B207C32DA640FC3781EA97FC2C7E51425,22.2891,73.1924,Mechanical Designer – Thermal Management Systems
Design Engineer,Rawmart material solutions pvt ltd,"Pune, Maharashtra",2025-07-21T05:28:07Z,Engineering Jobs,"Role Description This is a full-time on-site role for a Design Engineer at Rawmart in Pune. The Design Engineer will be responsible for performing day-to-day tasks related to design engineering, mechanical engineering, computer-aided design (CAD), and product design. They will collaborate with cross-functional teams to ensure effective design and implementation of projects. Qualifications Design Engineering and Mechanical Engineering skills Proficiency in Auto Computer-Aided Design (CAD) Profic…",https://www.adzuna.in/details/5314054131?utm_medium=api&utm_source=c8890522,18.5062,73.84735,Mechanical Designer – Thermal Management Systems
