"Title","Company","Location","Created","Category","URL","Latitude","Longitude"
"Firmware Developer","IBM","Hyderabad, Telangana","2025-07-18T11:44:35Z","IT Jobs","https://www.adzuna.in/land/ad/5309607132?se=sg2fjZlk8BG3_bOf49PRjw&utm_medium=api&utm_source=c8890522&v=9596A22CB2C6CE1BB2E466C9570CC04F2AD10F76","17.40275","78.50806"
"Firmware Developer","IBM","Hyderabad, Telangana","2025-07-18T11:44:35Z","IT Jobs","https://www.adzuna.in/land/ad/5309607214?se=sg2fjZlk8BG3_bOf49PRjw&utm_medium=api&utm_source=c8890522&v=263B8452AC0145B5332A4DA38AC4281307935E4C","17.40275","78.50806"
"Firmware Developer","IBM","Hyderabad, Telangana","2025-06-26T23:40:40Z","IT Jobs","https://www.adzuna.in/land/ad/5269948425?se=sg2fjZlk8BG3_bOf49PRjw&utm_medium=api&utm_source=c8890522&v=5D88CD642D7EA89DDB3253960A4E938FEB10F3AF","17.40275","78.50806"
"Firmware Developer","IBM","Bangalore, Karnataka","2025-07-17T10:38:08Z","IT Jobs","https://www.adzuna.in/land/ad/5307822075?se=sg2fjZlk8BG3_bOf49PRjw&utm_medium=api&utm_source=c8890522&v=376C831CD90DA7D77020BF8F7D814205ACEE90FB","12.95703","77.59837"
"Openbmc Firmware Developer","Celestica","India","2025-07-10T04:11:28Z","Engineering Jobs","https://www.adzuna.in/land/ad/5294872445?se=sg2fjZlk8BG3_bOf49PRjw&utm_medium=api&utm_source=c8890522&v=475CC6BC8D4C65327AD4E6619742B23315568F2E","22.3511148","78.6677428"
"Firmware Developement Engineer","Qualcomm","Chennai, Tamil Nadu","2025-05-08T23:14:55Z","IT Jobs","https://www.adzuna.in/land/ad/5188813848?se=sg2fjZlk8BG3_bOf49PRjw&utm_medium=api&utm_source=c8890522&v=A22173B5AA15577CCD489BB7615B5EA70942F822","13.06041","80.24963"
"Firmware Engineer - Firmware Development","Flowserve Corporation","Bangalore, Karnataka","2025-03-18T22:54:02Z","Engineering Jobs","https://www.adzuna.in/land/ad/5099197712?se=sg2fjZlk8BG3_bOf49PRjw&utm_medium=api&utm_source=c8890522&v=89B5FAC96EFACC0F23B3232156F8E80CD723D6CD","12.9767936","77.5900820"
"Engineer, Senior - Firmware Development","Qualcomm","Hyderabad, Telangana","2025-07-05T02:23:24Z","IT Jobs","https://www.adzuna.in/land/ad/5285831199?se=sg2fjZlk8BG3_bOf49PRjw&utm_medium=api&utm_source=c8890522&v=DB3B5C34C4FBA1E16051629416DC29EBE07BE98B","17.40275","78.50806"
"Sr. Firmware Development Engineer","Emerson","Pune, Maharashtra","2025-04-26T23:03:00Z","IT Jobs","https://www.adzuna.in/land/ad/5164378705?se=sg2fjZlk8BG3_bOf49PRjw&utm_medium=api&utm_source=c8890522&v=BB00FBB3E2AFDCB7FDCFE7A3311E9603B017259D","18.5062","73.84735"
"Lead Engineer - Firmware Development","Wabtec Corporation","Bangalore, Karnataka","2025-07-17T10:39:32Z","IT Jobs","https://www.adzuna.in/land/ad/5307823220?se=sg2fjZlk8BG3_bOf49PRjw&utm_medium=api&utm_source=c8890522&v=5617AD3CD1964BF4410164C2943E62DC51AA79E9","12.9767936","77.5900820"
