"Title","Company","Location","Created","Category","URL","Latitude","Longitude"
"Mech Design Engr II","Honeywell","Bangalore, Karnataka","2025-07-16T10:38:42Z","Engineering Jobs","https://www.adzuna.in/land/ad/5305890350?se=zO-LrJZk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=25235BC8D17D5DCF27B3640166CCCAE772D78366","12.9767936","77.5900820"
"Mech Design Engr II","Honeywell","Hyderabad, Telangana","2025-07-18T11:44:23Z","Engineering Jobs","https://www.adzuna.in/land/ad/5309607014?se=zO-LrJZk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=1148A52EF533C5E33696797BD9E8FEF9125D173D","17.40275","78.50806"
"Lead Mech Design Engr","Honeywell","Hyderabad, Telangana","2025-06-25T23:40:35Z","Engineering Jobs","https://www.adzuna.in/land/ad/5267893788?se=zO-LrJZk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=2988D08BF11A5DA78DD298E3C5A62548A4030E40","17.40275","78.50806"
"Advanced Mech Design Engr","Honeywell","India","2025-07-10T04:12:44Z","Engineering Jobs","https://www.adzuna.in/land/ad/5294875157?se=zO-LrJZk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=4C799C504FC1A70363A675DEA53F83A30E11B252","22.3511148","78.6677428"
"Mech Design Engr II","Honeywell","Pune, Maharashtra","2025-07-12T10:44:47Z","Engineering Jobs","https://www.adzuna.in/land/ad/5299203459?se=zO-LrJZk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=136EABA2E9D4F732D0598C3EA2006022832BD816","18.5062","73.84735"
"Mech Design Engr II","Honeywell","Bangalore, Karnataka","2025-07-17T10:37:58Z","Engineering Jobs","https://www.adzuna.in/land/ad/5307821811?se=zO-LrJZk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=F0C327D17B54AD8B1507659C4920CA83C6154E92","12.9767936","77.5900820"
"Advanced Mech Design Engr","Honeywell","Gurgaon, Haryana","2025-07-10T04:12:45Z","Engineering Jobs","https://www.adzuna.in/land/ad/5294875177?se=zO-LrJZk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=E21C1DF101D08EDB08FB6B99F35A8ECDD0CE67FC","28.323996","76.983738"
"Sr Advanced Mech Design Engr","Honeywell","Bangalore, Karnataka","2025-07-16T10:38:41Z","Engineering Jobs","https://www.adzuna.in/land/ad/5305890299?se=zO-LrJZk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=EA5CB61921C27FF067209F38210AB7930AFDDDB5","12.95703","77.59837"
"Mech Design Engineer (Packaging Machines)","DCS Group","Ghaziabad, Uttar Pradesh","2025-04-22T18:22:37Z","Engineering Jobs","https://www.adzuna.in/details/5156167351?utm_medium=api&utm_source=c8890522","28.6735","77.4199"
"Battery Mech Designer (BESS Industry)","DCS Group","Gurgaon, Haryana","2025-07-19T02:41:06Z","Engineering Jobs","https://www.adzuna.in/details/5310704730?utm_medium=api&utm_source=c8890522","28.323996","76.983738"
"Mech Design Engineer(Local Chhattisgarh Candidate)","DCS Group","India","2025-06-04T18:46:35Z","Engineering Jobs","https://www.adzuna.in/details/5232763732?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Mech Design Engg (Machine/Heavy Machinery Design)","DCS Group","Ghaziabad, Uttar Pradesh","2025-07-11T22:55:47Z","Engineering Jobs","https://www.adzuna.in/details/5297943351?utm_medium=api&utm_source=c8890522","28.6735","77.4199"
"Advanced Lead Engineer - Lubes, PV, Heat Transfer, Thermal Dynamics, CFD, Fluid - Mech Design","Her second innings","Bangalore, Karnataka","2025-06-06T20:49:19Z","Engineering Jobs","https://www.adzuna.in/details/5236373231?utm_medium=api&utm_source=c8890522","12.95703","77.59837"
"Design Engineer - Mech","LT-Larsen & Toubro Limited","India","2025-04-18T01:47:33Z","Engineering Jobs","https://www.adzuna.in/details/5150538274?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Steel Structure Designer (Mech/Civil)","DCS Group","Faridabad, Haryana","2025-07-03T20:40:04Z","Engineering Jobs","https://www.adzuna.in/details/5281928640?utm_medium=api&utm_source=c8890522","28.38221","77.30309"
"Advanced Lead Engineer - Gas Turbine/Thermal Dynamics/FEA/Airfoils/Static Structure","Her second innings","Bangalore, Karnataka","2025-06-06T20:49:09Z","Engineering Jobs","https://www.adzuna.in/details/5236372601?utm_medium=api&utm_source=c8890522","12.95703","77.59837"
"Conveyor Design Engineer (Mech)","DCS Group","Ghaziabad, Uttar Pradesh","2025-04-25T18:29:04Z","Engineering Jobs","https://www.adzuna.in/details/5162259007?utm_medium=api&utm_source=c8890522","28.6735","77.4199"
"Mechanical (FSS design) - MECH Semiconductor Domain","HCLTech","Bangalore, Karnataka","2025-07-14T09:35:21Z","Engineering Jobs","https://www.adzuna.in/details/5301587818?utm_medium=api&utm_source=c8890522","12.9767936","77.5900820"
