"Title","Company","Location","Created","Category","URL","Latitude","Longitude"
"AVP - Procurement Specialist","MUFG Global Service ","Bangalore, Karnataka","2025-05-28T12:02:57Z","Accounting & Finance Jobs","https://www.adzuna.in/land/ad/5219560265?se=DmLgSZZk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=A8168B697A6F87C2CFFD96535216D7399AF28683","12.9767936","77.5900820"
"Procurement Specialist","NetApp","Bangalore, Karnataka","2025-07-17T10:38:22Z","Accounting & Finance Jobs","https://www.adzuna.in/land/ad/5307822474?se=DmLgSZZk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=97C34D29A32A3E0747B2CC18D3CDB078BE262B77","12.9767936","77.5900820"
"PROCUREMENT SPECIALIST","Weatherford","Vadodara, Gujarat","2025-07-11T04:07:30Z","Engineering Jobs","https://www.adzuna.in/land/ad/5296923624?se=DmLgSZZk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=303345AD0E8C717A66E2EA808A0BFD3B201C780D","22.2891","73.1924"
"Procurement Specialist","Allegion","Bangalore, Karnataka","2025-06-19T23:44:10Z","Engineering Jobs","https://www.adzuna.in/land/ad/5258435785?se=DmLgSZZk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=6C5344FDE7D6E1A38EB0014982A6A11400B95F8D","12.95703","77.59837"
"Senior Procurement Specialist","McDermott","Chennai, Tamil Nadu","2025-05-20T23:28:54Z","Energy, Oil & Gas Jobs","https://www.adzuna.in/land/ad/5207783629?se=DmLgSZZk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=331E81E21F76EE40B1EC20B0E629034D7CAE2FA4","13.06041","80.24963"
"Buying/Procurement Specialist","Wabtec Corporation","India","2025-06-26T23:41:42Z","Logistics & Warehouse Jobs","https://www.adzuna.in/land/ad/5269972955?se=DmLgSZZk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=124C7B452048B80A7D0F3CD4E7825481BDB9295A","22.3511148","78.6677428"
"OPRC10 - Associate Procurement Specialist","KBR","Chennai, Tamil Nadu","2025-06-26T23:40:41Z","Retail Jobs","https://www.adzuna.in/land/ad/5269948716?se=DmLgSZZk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=885B287D00B2F3D38F938144634B6165940DA9E5","13.06041","80.24963"
"Supply Planning & Procurement Specialist","Corning Incorporated","Gurgaon, Haryana","2025-05-02T23:17:54Z","Retail Jobs","https://www.adzuna.in/land/ad/5176748284?se=DmLgSZZk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=F51620EB62392EFFBB329E721115A15143E73C16","28.323996","76.983738"
"Specialist-Procurement Operations","McDonalds in India","Hyderabad, Telangana","2025-05-21T11:58:40Z","Accounting & Finance Jobs","https://www.adzuna.in/land/ad/5208565130?se=DmLgSZZk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=FF15A87DE62DE021C14DB72F9CFD2506A9A7AEC6","17.40275","78.50806"
"Senior Procurement Specialist - Sub-Contractor Category","WSP USA","Noida, Ghaziabad","2025-06-29T23:45:41Z","IT Jobs","https://www.adzuna.in/land/ad/5275059702?se=DmLgSZZk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=3A221D99C5A3AB2C4DF171B71D8C4D5EDE3F893A","28.56579","77.3225"
