"Title","Company","Location","Created","Category","URL","Latitude","Longitude"
"Product Architect","Siemens","Pune, Maharashtra","2025-05-17T23:22:14Z","IT Jobs","https://www.adzuna.in/land/ad/5203809416?se=sEisyJBk8BG0GtBv1vGMnA&utm_medium=api&utm_source=c8890522&v=F0825C6ABD3F20F50D882F0FC5BD2BDC264B97F9","18.5062","73.84735"
"Sr Product Architect(ISG)","Cognizant","Chennai, Tamil Nadu","2025-06-18T23:42:06Z","IT Jobs","https://www.adzuna.in/land/ad/5256774941?se=sEisyJBk8BG0GtBv1vGMnA&utm_medium=api&utm_source=c8890522&v=F76D764DC28F500C1D731F855C8ABEFE7CBBB02B","13.06041","80.24963"
"Product Architect","TeachEdison","Coimbatore, Tamil Nadu","2025-07-04T21:42:15Z","IT Jobs","https://www.adzuna.in/details/5285313339?utm_medium=api&utm_source=c8890522","11.017171","77.100203"
"Product Architect","Greenway Health","Richmond Town, Bangalore","2025-04-28T20:36:54Z","IT Jobs","https://www.adzuna.in/details/5166780152?utm_medium=api&utm_source=c8890522","12.9706","77.60024"
"Automation Product Architect","Code Vyasa","Chennai, Tamil Nadu","2025-06-17T18:50:42Z","IT Jobs","https://www.adzuna.in/details/5254744149?utm_medium=api&utm_source=c8890522","13.06041","80.24963"
"Associate Product Architect","Trinity Life Sciences","India","2025-05-14T01:58:01Z","IT Jobs","https://www.adzuna.in/details/5197161564?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Product Architect - Artificial Intelligence","Franklin Templeton","Hyderabad, Telangana","2025-06-16T02:56:17Z","IT Jobs","https://www.adzuna.in/details/5252381408?utm_medium=api&utm_source=c8890522","17.40275","78.50806"
"Product Architect - Semantic Modelling","Trinity Life Sciences","India","2025-05-30T01:56:42Z","IT Jobs","https://www.adzuna.in/details/5222585197?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"AI ML Product Architect","DataSafeguard India","Mumbai, Maharashtra","2025-07-03T20:40:06Z","IT Jobs","https://www.adzuna.in/details/5281928686?utm_medium=api&utm_source=c8890522","19.00821","72.84415"
"Product Architect (EHR Experience)","Greenway Health","Richmond Town, Bangalore","2025-06-05T21:42:12Z","IT Jobs","https://www.adzuna.in/details/5234725575?utm_medium=api&utm_source=c8890522","12.9706","77.60024"
"Lead Application and Product Architect","Wolters Kluwer","India","2025-05-11T01:51:44Z","IT Jobs","https://www.adzuna.in/details/5192916682?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Director- ServiceNow Product Architect for HR products","AstraZeneca","Chennai, Tamil Nadu","2025-07-05T20:45:00Z","IT Jobs","https://www.adzuna.in/details/5287864779?utm_medium=api&utm_source=c8890522","13.06041","80.24963"
"Product Architect (SaaS AIML AWS)","The Techgalore","Noida, Ghaziabad","2025-07-03T20:35:16Z","IT Jobs","https://www.adzuna.in/details/5281914863?utm_medium=api&utm_source=c8890522","28.56579","77.3225"
"Product Architect - [ Quantum Computing / AI ML ]","Tata Consultancy Services","Hyderabad, Telangana","2025-07-14T09:36:36Z","IT Jobs","https://www.adzuna.in/details/5301593613?utm_medium=api&utm_source=c8890522","17.40275","78.50806"
"Senior Product Architect, AWS Cloud Solutions","Greenway Health","Richmond Town, Bangalore","2025-04-08T20:53:23Z","IT Jobs","https://www.adzuna.in/details/5135524925?utm_medium=api&utm_source=c8890522","12.9706","77.60024"
"Lead Application and Product Architect ( UI Architect )","Wolters Kluwer","India","2025-06-28T03:07:53Z","IT Jobs","https://www.adzuna.in/details/5272277206?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Lead Application and Product Architect ( UI Architect )","Wolters Kluwer","India","2025-07-14T02:26:14Z","IT Jobs","https://www.adzuna.in/details/5301280949?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Data Architect - RWD and Analytics Products","Norstella","India","2025-03-10T23:03:34Z","IT Jobs","https://www.adzuna.in/land/ad/5085433762?se=sEisyJBk8BG0GtBv1vGMnA&utm_medium=api&utm_source=c8890522&v=51AFA9F0458A2240C9B4FE56E9B8CBA84788BB58","22.3511148","78.6677428"
