"Title","Company","Location","Created","Category","URL","Latitude","Longitude"
"Engineer (PCB Design)","Eaton Corporation","Hadapsar, Pune","2025-06-13T23:47:08Z","Engineering Jobs","https://www.adzuna.in/land/ad/5248991222?se=4nAwvoVk8BG0GtBv1vGMnA&utm_medium=api&utm_source=c8890522&v=2ED73971936A48503D04DEF626B92F6E1CC757B1","18.5219","73.95314"
"Lead PCB Design Engineer","Emerson","Pune, Maharashtra","2025-06-19T23:45:31Z","Engineering Jobs","https://www.adzuna.in/land/ad/5258446155?se=4nAwvoVk8BG0GtBv1vGMnA&utm_medium=api&utm_source=c8890522&v=E4AD7149B17540FC7AC62A608B909D45B90724FF","18.5062","73.84735"
"Lead PCB Design ENgineer","TE Connectivity","Bangalore, Karnataka","2025-07-04T02:21:03Z","Engineering Jobs","https://www.adzuna.in/land/ad/5282462744?se=4nAwvoVk8BG0GtBv1vGMnA&utm_medium=api&utm_source=c8890522&v=7AC7CBB68E9E21FDA46EAFFD1D69B5BAA935A12E","12.95703","77.59837"
"Lead Engineer - PCB Design and Electronics Hardware","GE Vernova","Tamil Nadu, India","2025-04-24T23:24:42Z","Engineering Jobs","https://www.adzuna.in/land/ad/5160519390?se=4nAwvoVk8BG0GtBv1vGMnA&utm_medium=api&utm_source=c8890522&v=07B2AD83A436394E1C80BF0F23145DE0F446D15D","10.989607","78.607338"
"PCB Designer","Excellence and Eminence LLP","Bangalore, Karnataka","2025-06-06T20:42:31Z","Engineering Jobs","https://www.adzuna.in/details/5236360844?utm_medium=api&utm_source=c8890522","12.9767936","77.5900820"
"PCB Design","Maintec","Bangalore, Karnataka","2025-06-06T20:42:26Z","Engineering Jobs","https://www.adzuna.in/details/5236360250?utm_medium=api&utm_source=c8890522","12.9767936","77.5900820"
"PCB Designer","Amec Mobility Pvt Ltd","Nagpur, Maharashtra","2025-06-06T20:46:14Z","Engineering Jobs","https://www.adzuna.in/details/5236370539?utm_medium=api&utm_source=c8890522","21.1867","78.9786"
"PCB Designer","Aproposdrive Technologies Pvt Ltd","Pune, Maharashtra","2025-07-03T06:29:40Z","IT Jobs","https://www.adzuna.in/details/5280723102?utm_medium=api&utm_source=c8890522","18.5062","73.84735"
"PCB Designer","Akkodis","Bangalore, Karnataka","2025-07-14T09:36:12Z","Engineering Jobs","https://www.adzuna.in/details/5301591817?utm_medium=api&utm_source=c8890522","12.9767936","77.5900820"
"PCB Designer","RecruitARK Solutions Pvt Ltd","Bangalore, Karnataka","2025-02-07T22:40:14Z","Engineering Jobs","https://www.adzuna.in/details/5041553062?utm_medium=api&utm_source=c8890522","12.9767936","77.5900820"
